batter,des,x,y,pitcher,type,team,inning,first,last,bats,team_abbrev,full.name
488726,Out,150.6,158.63,502032,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,177.71,118.47,450308,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,184.74,87.35,493133,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,118.47,81.33,502624,H,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,180.72,100.4,474029,H,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,138.55,151.61,521055,O,H,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,111.45,155.62,612672,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,156.63,115.46,571945,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,151.61,157.63,285064,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,90.36,136.55,448159,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,160.64,69.28,571800,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,169.68,102.41,456051,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,88.35,136.55,453286,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,96.39,94.38,547749,H,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,217.87,106.43,516969,H,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,151.61,167.67,543278,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,145.58,158.63,502043,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,167.67,116.47,460156,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,65.26,78.31,502593,O,H,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,216.87,58.23,434622,H,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,136.55,155.62,462985,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,147.59,93.37,453286,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,127.51,195.78,502087,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,157.63,166.67,547874,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,137.55,159.64,488846,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,125.5,104.42,407819,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,125.5,150.6,461872,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,123.49,182.73,435221,H,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,40.16,120.48,461833,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,148.59,167.67,218596,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,155.62,176.71,218596,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
